"ingredient_name","frequency","example_raw"
"or beets, *)","1","2 cups (or 1 6.5-oz. pack) pickled or marinated beets, sliced  ((I use Love Beets brand)*)"
"sheets nori","1","4 sheets nori"
"-2 tablespoons chili paste","1","1-2 tablespoons chili paste"
"tablespoon taco seasoning","1","1 tablespoon taco seasoning"
"tbsp chinese five-spice","1","1 tbsp Chinese five-spice"
"oil for frying )","1","oil for frying ((around 240ml/1 cup))"
"red onions, 1/4-inch","1","3 large red onions, sliced 1/4-inch thick"
"-3 cups water","1","2-3 cups water"
"pound fingerling potatoes","1","1 pound fingerling potatoes (or Yukon golds or halved white/red baby potatoes, halved)"
". baby red potatoes","1","2 lbs. baby red potatoes, halved"
"tomatoes-on-the-vine","1","2  tomatoes-on-the-vine, chopped"
"broccolini )","1","12 ounces broccolini (trimmed (about 2 bunches))"
"kimchi","1","Kimchi"
"sweet potatoes &#8211; into 1/2 inch cubes, unpeeled.","1","2 lbs sweet potatoes (about 2 medium-sized) &#8211; diced into 1/2 inch cubes, unpeeled."
"teaspoon caraway seeds","1","1/2 teaspoon caraway seeds ( optional, but good)"
"-2 pounds baby red and/or gold potatoes","1","1 1/2-2 pounds baby red and/or gold potatoes"
"sweet potatoes, cut into match sticks","1","2  sweet potatoes, cut into match sticks"
"cup all-purpose","1","1/4 cup all-purpose (or gluten free all-purpose flour)"
"lb mushrooms","1","1 Lb Mushrooms"
"green onions or handful of chives )","1","2   green onions or handful of chives (chopped (chives for low fodmap))"
"-4 tbsp water","1","3-4 Tbsp water"
"mixed vegetables )","1","4 cups mixed chopped vegetables  ((we used red bell pepper, broccoli, carrots &amp; kale))"
"mesquite seasoning","1","2 teaspoons mesquite seasoning (see note)"
"pound baby bella mushrooms","1","1 pound baby bella mushrooms, (sliced thick)"
"lots of limes","1","lots of fresh limes"
"half of a jalapeño","1","half of a jalapeño (optional), diced"
"&#8211; 15oz can tomatoes","1","1 &#8211; 15oz can diced tomatoes"
"&#8211; 4oz can green chiles","1","1 &#8211; 4oz can diced green chiles"
"jalapeños, for serving","1","jalapeños, for serving (optional)"
"tablespoon liquid smoke )","1","1 tablespoon liquid smoke  ((you can find this in almost any grocery store))"
"zucchinis )","1","2 medium zucchinis  ((see note))"
"&#8211; 4oz can mild hatch chilies","1","1 &#8211; 4oz can mild hatch chilies"
"a pinch of chili flakes","1","A pinch of chili flakes"
"-3 drops kitchen bouquet","1","2-3  drops Kitchen Bouquet (optional)"
"cup marinara sauce","1","1 cup marinara sauce (sugar free, for Whole30)"
"or carrots","1","2 cups chopped or thinly sliced carrots"
"green onions for garnish","1","Thinly sliced green onions for garnish"
"juice of 2 limes","1","juice of 2 limes"
"cup southwest salad dressing","1","1/3 cup Southwest Salad Dressing"
"teaspoon shichimi togarashi","1","1 teaspoon Shichimi Togarashi (to serve)"
"tablespoon furikake","1","1 tablespoon Furikake (to serve)"
"-3 ny strip steaks , 1 inch","1","2-3  NY strip steaks (or other steak), 1 inch thick"
"sweet vidalia onions","1","2  sweet vidalia onions, thinly sliced"
"bunch chives, cut into 1&quot; batons","1","1 bunch chives, cut into 1&quot; batons"
"little gems washed rough","1","4 cups little gems ((from 2 small heads) washed and rough chopped)"
"lb yellow potatoes","1","1 lb yellow potatoes (quartered)"
"tbsp sweet chilli sauce","1","1 tbsp sweet chilli sauce (store bought or homemade)"
"tbsp dry sherry","1","1 tbsp dry sherry (optional)"
"pinch chilli flakes","1","1 pinch chilli flakes"
"coconut","1","1 1/2 cups shredded unsweetened coconut"
"pound of potatoes, thin-skinned, 1/8 inch rounds","1","1 pound of potatoes, thin-skinned, sliced 1/8 inch rounds (potatoes are optional)"
"**tacos**","1","**Tacos**"
"tablespoon chili crisp","1","1 tablespoon chili crisp (or 30 minute chili oil)"
"tablespoon crispy onions","1","1 tablespoon crispy onions"
"furikake seasoning","1","2 teaspoons furikake seasoning (optional, to serve)"
"kg / 2.5 lb 4 -5 sweet potatoes","1","1.25 kg / 2.5 lb  4 -5 sweet potatoes"
"can fire tomatoes )","1","1 (14.5 oz) can fire roasted tomatoes ((undrained))"
"can can mild green chilies )","1","1 (4 oz) can can mild green chilies ((undrained))"
"baby or persian cucumbers","1","2  baby or persian cucumbers, (peeled)"
"-2 leeks, into 1/2 inch rounds","1","1-2 large leeks, sliced into ½ inch thick rounds ( if dirty, rinse, see notes)"
"of mixed vegetables","1","3 cups of mixed vegetables (such as broccoli, asparagus, bell pepper, mushrooms)"
"cup or carrots","1","1 cup shredded or julienned carrots"
"cup marsala","1","1/4 cup marsala"
"cup shaved coconut flakes","1","¼  cup unsweetened shaved coconut flakes"
"teaspoon chili flakes or urfa biber","1","1/4 teaspoon chili flakes or urfa biber"
"-2 cups greens","1","1-2 cups greens ( arugula, spinach, watercress)"
"carrots parsnips","1","3 cups roughly chopped carrots and parsnips (optional)"
"peaches or nectarines","1","2 cups diced ripe peaches or nectarines (about 3)"
"of tomatoes","1","2 pounds of ripe tomatoes, chopped (or use a 28-ounce can of tomato puree or crushed tomatoes - see notes below)"
"boiling water","1","1 1/2 cups boiling water"
"-3 heirloom tomatoes, cut into wedges","1","2-3  heirloom tomatoes, cut into wedges"
"leeks, white parts only, split, washed","1","2 leeks, white parts only, split, thinly sliced, and washed "
"teaspoon red curry paste","1","1 teaspoon red curry paste"
"tablespoon sambal oelek )","1","1/2 tablespoon sambal oelek (or Sriracha, (optional, for heat))"
"carrots, cut into very rounds","1","3 medium carrots, peeled and cut into very thin rounds"
"thai bird chilies or holland chilies","1","3  Thai bird chilies or holland chilies"
"-25 ounce jar marinara","1","1  24-25 ounce jar marinara (homemade or store-bought)"
"juice from 2 limes","1","juice from 2 limes"
"jalapeños, if desired","1","2  jalapeños, chopped, and seeded if desired"
"tsp chili flakes )","1","1/2 tsp chili flakes ((Add more, to taste, depending on your heat preference))"
"green onions )","1","6  green onions (sliced into 1.5-inch pieces (white and green parts))"
"tostada shells )","1","8  tostada shells ((store-bought or homemade using corn tortillas - see notes))"
"lb carrots , into 2-inch pieces","1","1 lb carrots (5 medium), peeled and chopped into 2-inch pieces"
"lb beets into 1-inch wedges","1","½ lb beets (3 medium/4 small) peeled and chopped into 1-inch wedges"
"za’atar spice","1","1 ½ teaspoons za’atar spice"
"cup mixed herbs, , plus for garnish","1","1 cup mixed herbs, packed (I used parsley, dill &amp; basil), plus extra for garnish"
"golden heirloom tomatoes","1","2  golden heirloom tomatoes (roughly chopped)"
"dairy-free mashed sweet potatoes","1","Dairy-Free Mashed Sweet Potatoes"
"for the sauce:","1","For the sauce:"
"to 2 tablespoons sambal olek, depending on your heat tolerance","1","1 to 2 tablespoons sambal olek, depending on your heat tolerance"
"garnish serving:","1","Garnish and serving:"
"jalapeno, stem seed removed","1","1/2 large jalapeno, stem and seed removed, diced (optional)"
"or jalapeno","1","diced or sliced jalapeno"
"avocadoes","1","3  avocadoes"
"-1/2 cup herbs","1","1/4-1/2 cup chopped herbs (mint, dill, Italian parsley or cilantro- a mix is nice)"
"teaspoon aleppo or chili flakes","1","1/2 teaspoon aleppo or chili flakes (optional)"
"cup herbs","1","3/4 cup fresh herbs (cilantro, Italian parsley, dill or basil or a combo!)"
