ingredient,issue,raw_example,usda_candidates,your_correction
sweetcorn,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 350g can sweetcorn (drained),"[Branded] ST. DALFOUR, FRENCH BISTRO, THREE BEANS WITH SWEETCORN (fdcId: 2018061) | [Branded] HAPPY CHICKEN FLAVOR NOODLES RAMEN BROTH WITH SWEETCORN, HAPPY CHICKEN (fdcId: 926046)",
sautéed mushrooms,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1  recipe Sautéed Mushrooms,"[SR Legacy] Onions, yellow, sauteed (fdcId: 170004) | [SR Legacy] Peppers, sweet, green, sauteed (fdcId: 170024) | [Foundation] Mushroom, beech (fdcId: 2003603) | [Foundation] Mushroom, crimini (fdcId: 2003601) | [Branded] SAUTEED ONION & MUSHROOM SAUCE, SAUTEED ONION & MUSHROOM (fdcId: 2088674) | [Branded] SAUTEED ONION, SAUTEED (fdcId: 1987799)",
salad leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",100 g / 3½ oz mixed salad leaves,"[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [FNDDS] Taro leaves, cooked (fdcId: 2709633) | [FNDDS] Grape leaves stuffed with rice (fdcId: 2709064) | [Branded] BACON LEAVES TACOSS, BACON LEAVES (fdcId: 2539395) | [Branded] SPEARMINT LEAVES CANDIES, SPEARMINT LEAVES (fdcId: 2619559)",
king edward potato,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","4 medium king edward potatoes (750g), peeled and cut into 4cm pieces","[SR Legacy] BURGER KING, Cheeseburger (fdcId: 170329) | [SR Legacy] BURGER KING, Hamburger (fdcId: 170328) | [Foundation] Mushroom, king oyster (fdcId: 2003599) | [Foundation] Flour, potato (fdcId: 2261422) | [Branded] PRINCE EDWARD MEDLEY (fdcId: 2021670) | [Branded] PRINCE EDWARD MEDLEY (fdcId: 2072612)",
aubergine,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 large aubergine, cut into 6 wedges (400g)","[Branded] AUBERGINES CAPONATA, AUBERGINES (fdcId: 2394232) | [Branded] CUOCO, AUBERGINE AND VEGETABLE PUREE (fdcId: 1867461)",
butterbean,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 jar butterbeans, drained (400g)","[Branded] HARRIS TEETER, SOUP MIX WITH HAM SEASONING PACKET (fdcId: 2008391)",
asafetida,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/4 teaspoon asofetida ((hing)),"[Branded] AMMA'S KITCHEN, HOT KERALA MIXTURE (fdcId: 2051310) | [Branded] SPLITZ, FIERY GARLIC (fdcId: 2052765)",
kala namak,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","a generous pinch of kala namak (, optional, or use 1 tsp nutritional yeast)",[Branded] KALA NAMAK (fdcId: 2166221) | [Branded] NAMAK PARA (fdcId: 1914611),
fresh tarragon,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",¼ cup fresh tarragon (optional),"[SR Legacy] Spices, tarragon, dried (fdcId: 170937) | [SR Legacy] Basil, fresh (fdcId: 172232) | [Foundation] Corn, sweet, yellow and white kernels,  fresh, raw (fdcId: 2710826) | [FNDDS] Coconut, fresh (fdcId: 2707500) | [FNDDS] Tomatoes, fresh, cooked (fdcId: 2709721) | [Branded] CARROT PISTACHIO & TARRAGON FRESH & SAVORY SOUP, CARROT PISTACHIO & TARRAGON (fdcId: 2069783)",
pav,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",12-14  pav (eggless dinner rolls),[Branded] PAV BHAJI MASALA (fdcId: 454412) | [Branded] SPICE MIX FOR SABZI/PAV BHAJI (fdcId: 2090415),
toum,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Toum (for serving),,
sour orange juice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",¾ cup sour orange juice (or regular orange juice),"[SR Legacy] Babyfood, juice, orange (fdcId: 171354) | [SR Legacy] Babyfood, juice, orange and apple (fdcId: 171355) | [Foundation] Orange juice, no pulp, not fortified, from concentrate, refrigerated (fdcId: 2003591) | [Foundation] Orange juice, no pulp, not fortified, not from concentrate, refrigerated (fdcId: 2003597) | [Branded] SOUR ORANGE, ORANGE (fdcId: 1854773) | [Branded] SOUR  ORANGE (fdcId: 2615115)",
protein,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 1/2 cups protein (beef, chicken, pork, shrimp, seafood, tofu, etc.)","[SR Legacy] Soy protein isolate (fdcId: 174276) | [SR Legacy] Bread, protein (includes gluten) (fdcId: 174917) | [FNDDS] Bread, high protein, toasted (fdcId: 2707641) | [FNDDS] Textured vegetable protein, dry (fdcId: 2707451) | [Branded] PROTEIN POWDER, PROTEIN + GREENS (fdcId: 2476084) | [Branded] BERRY PROTEIN FRUIT JUICE SMOOTHIE WITH PROTEIN, BERRY PROTEIN (fdcId: 2239521)",
creole seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 teaspoon creole seasoning,"[SR Legacy] Croutons, seasoned (fdcId: 172752) | [SR Legacy] Spices, poultry seasoning (fdcId: 171331) | [Branded] CREOLE SEASONING (fdcId: 2428869) | [Branded] CREOLE SEASONING (fdcId: 2435118)",
seasonal vegetables,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","2 cups chopped seasonal vegetables, such as sweet potatoes, green beans, butternut squash, potatoes, bell pepper, zucchini or yellow squash","[SR Legacy] Babyfood, vegetables, garden vegetable, strained (fdcId: 172284) | [SR Legacy] Babyfood, vegetables, mix vegetables junior (fdcId: 172283) | [Foundation] Arugula, baby, raw (fdcId: 2710822) | [Foundation] Asparagus, green, raw (fdcId: 2710823) | [Branded] VEGETABLE SEASONING, VEGETABLE (fdcId: 2291809) | [Branded] VEGETABLE SEASONING, VEGETABLE (fdcId: 1942351)",
everything but the bagel seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tbsp everything but the bagel seasoning,"[SR Legacy] Bagels, egg (fdcId: 174901) | [SR Legacy] Bagels, multigrain (fdcId: 171852) | [FNDDS] Bagel (fdcId: 2707684) | [FNDDS] Bagel, multigrain (fdcId: 2707785) | [Branded] EVERYTHING BAGEL SEASONING, EVERYTHING BAGEL (fdcId: 2374264) | [Branded] EVERYTHING BAGEL SEASONING, EVERYTHING BAGEL (fdcId: 2293396)",
crushed red chili flakes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tsp crushed red chili flakes,"[SR Legacy] Peppers, hot chili, red, raw (fdcId: 170106) | [SR Legacy] Tomatoes, red, ripe, canned, with green chilies (fdcId: 170053) | [Foundation] Tomatoes, crushed, canned (fdcId: 2685581) | [Foundation] Cabbage, red, raw (fdcId: 2346408) | [FNDDS] Cereal, wheat flakes (fdcId: 2708480) | [FNDDS] Cereal, corn flakes, flavored (fdcId: 2708474)",
veggies,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",raw veggies (for serving),"[SR Legacy] Veggie burgers or soyburgers, unprepared (fdcId: 174287) | [Branded] VEGGIE BOLOGNA, VEGGIE (fdcId: 2523837) | [Branded] VEGGIE BROTH, VEGGIE (fdcId: 2392086)",
lardons,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","5 ounces lardons, pancetta or bacon, diced (about 1 1/4 cups)","[Branded] TARTE FLAMBEE WITH BACON LARDONS, OLIVE OIL GRANA PADANO SAUCE, CREME FRAICHE, SLICED WHITE ONIONS, PARSLEY THIN CRUST PIZZA, TARTE FLAMBEE (fdcId: 1947581)",
salmon paste,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 x 75g jar of salmon (or other fish) paste,"[SR Legacy] Nuts, almond paste (fdcId: 170160) | [SR Legacy] Seeds, sesame butter, paste (fdcId: 170191) | [Foundation] Tomato, paste, canned, without salt added (fdcId: 2685580) | [Foundation] Fish, salmon, Atlantic, farm raised, raw (fdcId: 2684441) | [Branded] TOMATO PASTE, TOMATO PASTE (fdcId: 1850931) | [Branded] TOMATO PASTE, TOMATO PASTE (fdcId: 2405905)",
coco bread,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Coco Bread (to serve),"[SR Legacy] Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS (fdcId: 174619) | [SR Legacy] Bread, cheese (fdcId: 167944) | [Foundation] Bread, white, commercially prepared (fdcId: 325871) | [Foundation] Bread, whole-wheat, commercially prepared (fdcId: 335240) | [FNDDS] Bread, fruit (fdcId: 2707850) | [FNDDS] Bread, naan (fdcId: 2707613)",
chipotle pepper flakes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 tsp chipotle pepper flakes (more or less to taste),"[SR Legacy] Onions, dehydrated flakes (fdcId: 170002) | [SR Legacy] Breakfast bar, corn flake crust with fruit (fdcId: 167734) | [Foundation] Peppers, bell, green, raw (fdcId: 2258588) | [Foundation] Peppers, bell, orange, raw (fdcId: 2258591) | [FNDDS] Cereal, wheat flakes (fdcId: 2708480) | [FNDDS] Cereal, corn flakes, flavored (fdcId: 2708474)",
moroccan spice blend,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",3 tablespoons Moroccan spice blend (recipe below),"[SR Legacy] SMART SOUP, Moroccan Chick Pea (fdcId: 171182) | [SR Legacy] Spices, pumpkin pie spice (fdcId: 171332) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [Branded] MOROCCAN SPICED FLATBREAD MIX, MOROCCAN SPICED FLATBREAD (fdcId: 2275930) | [Branded] SAUSAGE, MOROCCAN SPICED (fdcId: 1903871)",
fire roasted tomato,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",14 ounce fire roasted tomatoes  ((1 can)),"[SR Legacy] SUBWAY, roast beef sub on white bread with lettuce and tomato (fdcId: 170713) | [SR Legacy] SUBWAY, oven roasted chicken sub on white bread with lettuce and tomato (fdcId: 170314) | [Foundation] Tomato, roma (fdcId: 1999634) | [Foundation] Tomato, puree, canned (fdcId: 2685582) | [FNDDS] Tomatoes, raw (fdcId: 2709719) | [FNDDS] Guacamole with tomatoes (fdcId: 2709308)",
courgette,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","3 courgettes, cut into thick slices on the diagonal","[Branded] RISOTTO WITH CARROTS AND COURGETTES (fdcId: 2437485) | [Branded] HOT PEPPER SAUCE, HOT PEPPER (fdcId: 2382871)",
chipotle paste,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1tbsp Chipotle Paste,"[SR Legacy] Nuts, almond paste (fdcId: 170160) | [SR Legacy] Seeds, sesame butter, paste (fdcId: 170191) | [Foundation] Tomato, paste, canned, without salt added (fdcId: 2685580) | [FNDDS] Almond paste (fdcId: 2707535) | [FNDDS] Guava paste (fdcId: 2710307) | [Branded] CHIPOTLE PEPPER PASTE, CHIPOTLE PEPPER (fdcId: 1994478)",
mangetout,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",100g mangetout or sugar snap peas,,
beansprout,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",100g  beansprouts,,
dijon,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 teaspoon dijon,"[Branded] DIJON MUSTARD, DIJON (fdcId: 1132945) | [Branded] DIJON MUSTARD, DIJON (fdcId: 2210154)",
chinese five-spice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tbsp Chinese five-spice,"[SR Legacy] Broccoli, chinese, cooked (fdcId: 169392) | [SR Legacy] Broccoli, chinese, raw (fdcId: 169404) | [Foundation] Restaurant, Chinese, sweet and sour pork (fdcId: 746774) | [Foundation] Restaurant, Chinese, fried rice, without meat (fdcId: 334536) | [FNDDS] Chinese pancake (fdcId: 2708343) | [FNDDS] Broccoli, Chinese, cooked (fdcId: 2709658)",
cilantro crema,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",sour cream or Vegan Cilantro Crema,"[SR Legacy] Coriander (cilantro) leaves, raw (fdcId: 169997) | [SR Legacy] Spices, coriander leaf, dried (fdcId: 170921) | [Branded] CILANTRO LIME CREMA, CILANTRO LIME (fdcId: 2292098) | [Branded] CHORIZO PICADILLO TACOS WITH CILANTRO-LIME CREMA MEAL KIT, CHORIZO PICADILLO TACOS WITH CILANTRO-LIME CREMA (fdcId: 2388217)",
hing,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","pinch hing (optional, also known as asafetida)","[Branded] LI HING GUMMY BEARS, LI HING (fdcId: 2651874) | [Branded] JUICY LI HING MIX, JUICY LI HING (fdcId: 2193182)",
berbere,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/2 to 1 teaspoon Kashmiri garam masala  (or regular garam masala or use curry powder or berbere ),"[Branded] BERBERE BEEF JERKY, BERBERE (fdcId: 2538469) | [Branded] BERBERE ORGANIC SEASONING, BERBERE (fdcId: 2186599)",
bagged salad,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",OR bagged salad (like an Asian-style salad),"[SR Legacy] Fish, tuna salad (fdcId: 175160) | [SR Legacy] Ham salad spread (fdcId: 173866) | [Branded] SALAD OLIVES, SALAD (fdcId: 2495113) | [Branded] MOJITO IN A BAG (fdcId: 2509401)",
bamboo skewers,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",12  bamboo skewers (soaked in water),"[SR Legacy] Bamboo shoots, raw (fdcId: 169210) | [SR Legacy] Bamboo shoots, canned, drained solids (fdcId: 169212) | [Branded] BAMBOO RICE (fdcId: 2059938) | [Branded] BAMBOO RICE (fdcId: 2106510)",
chili threads,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Garnish: chili threads ( optional) or chopped scallions,"[SR Legacy] APPLEBEE'S, chili (fdcId: 169018) | [SR Legacy] Chili with beans, canned (fdcId: 175207) | [Branded] BEAN THREADS (fdcId: 2622950) | [Branded] BEAN THREADS (fdcId: 2622951)",
chinese five spice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 teaspoons Chinese Five Spice (store-bought or make our homemade 5-Spice ),"[SR Legacy] Broccoli, chinese, cooked (fdcId: 169392) | [SR Legacy] Broccoli, chinese, raw (fdcId: 169404) | [Foundation] Restaurant, Chinese, sweet and sour pork (fdcId: 746774) | [Foundation] Restaurant, Chinese, fried rice, without meat (fdcId: 334536) | [FNDDS] Chinese pancake (fdcId: 2708343) | [FNDDS] Broccoli, Chinese, cooked (fdcId: 2709658)",
tea leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 tablespoons loose tea leaves ( green or black tea),"[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [FNDDS] Taro leaves, cooked (fdcId: 2709633) | [FNDDS] Grape leaves stuffed with rice (fdcId: 2709064) | [Branded] BREWED WITH PREMIUM TEA LEAVES (fdcId: 2093753) | [Branded] STONE BREAKER LEAVES TEA BAGS (fdcId: 2655464)",
chili paste with garlic,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 or 3 Tablespoons chili paste with garlic*,"[SR Legacy] Nuts, almond paste (fdcId: 170160) | [SR Legacy] Seeds, sesame butter, paste (fdcId: 170191) | [Foundation] Tomato, paste, canned, without salt added (fdcId: 2685580) | [Foundation] Garlic, raw (fdcId: 1104647) | [Branded] THAI CHILI GARLIC PASTE (fdcId: 2024255) | [Branded] GARLIC PASTE, GARLIC (fdcId: 2525581)",
urfa biber,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/4 teaspoon chili flakes or urfa biber,"[Branded] MARINATED GOAT CHEESE, URFA CHILI & LEMON (fdcId: 2428864) | [Branded] SWEET PEPPA CHEDDAR CHEESE WITH URFA PEPPERS, SWEET PEPPA CHEDDAR (fdcId: 2548363)",
pickle brine,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","optional add ins: 1 to 2 teaspoons nutritional yeast, 1 tablespoon non-dairy yogurt or 1 teaspoon sauerkraut brine or pickle brine","[SR Legacy] Eggplant, pickled (fdcId: 169892) | [SR Legacy] Pickles, cucumber, sweet (includes bread and butter pickles) (fdcId: 169378) | [Foundation] Pickles, cucumber, dill or kosher dill (fdcId: 324653) | [FNDDS] Pickles, NFS (fdcId: 2710097) | [FNDDS] Beets, pickled (fdcId: 2710071) | [Branded] PICKLED CUCUMBERS IN BRINE, IN BRINE (fdcId: 2366042)",
thai bird chilies,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",3  Thai bird chilies or holland chilies,"[SR Legacy] APPLEBEE'S, chili (fdcId: 169018) | [SR Legacy] SMART SOUP, Thai Coconut Curry (fdcId: 171183) | [FNDDS] Hot Thai sauce (fdcId: 2709744) | [FNDDS] Pad Thai with chicken (fdcId: 2708806) | [Branded] THE THAI BIRD SAUCE, THE THAI BIRD (fdcId: 2538310) | [Branded] THAI BIRD SRIRACHA MOCHI SNACK BITES, THAI BIRD SRIRACHA (fdcId: 2133595)",
tuscan marry me blend,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1-2 Tbsps Tuscan Marry Me Blend,"[SR Legacy] Cheese, Mexican blend (fdcId: 171288) | [SR Legacy] Orange Pineapple Juice Blend (fdcId: 167792) | [Branded] SUPER PREMIUM ICE CREAM, MARRY ME CHOCOLATE (fdcId: 2073685) | [Branded] MARRY ME CHICKEN SEASONED CHICKEN BREAST SIMMERED IN A SUN-DRIED TOMATO AND HERB CREAM SAUCE, MARRY ME CHICKEN (fdcId: 2643180)",
za'atar spice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 ½ teaspoons za’atar spice,"[SR Legacy] Spices, pumpkin pie spice (fdcId: 171332) | [SR Legacy] Spices, cardamom (fdcId: 170919) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [Branded] ZA'ATAR ORGANIC SUPERB SPICES AND SEASONINGS, ZA'ATAR (fdcId: 2448908) | [Branded] SPECIALTY, MIDDLE EASTERN ZA'ATAR SPICE BLEND, MIDDLE EASTERN ZA'ATAR (fdcId: 2620168)",
japanese 7 spice powder,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Japanese 7 spice powder,"[SR Legacy] Spices, chili powder (fdcId: 171319) | [SR Legacy] Spices, curry powder (fdcId: 170924) | [Foundation] Turkey, ground, 93% lean/ 7% fat, raw (fdcId: 2514747) | [Foundation] Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles (fdcId: 746785) | [FNDDS] Cookie, tea, Japanese (fdcId: 2707980) | [FNDDS] Nutritional powder mix (EAS Soy Protein Powder) (fdcId: 2710732)",
zaatar spice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tablespoon zaatar spice,"[SR Legacy] Spices, pumpkin pie spice (fdcId: 171332) | [SR Legacy] Spices, cardamom (fdcId: 170919) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [Branded] ZAATAR PITA CHIPS, ZAATAR (fdcId: 1764593) | [Branded] LEBANON ZAATAR THYME SEASONING (fdcId: 2072928)",
